index,City,Date,Month,Card Type,Exp Type,Gender,Amount
0,"Delhi, India",29-Oct-14,Oct,Gold,Bills,Female,82475
1,"Greater Mumbai, India",22-Aug-14,Aug,Platinum,Bills,Female,32555
2,"Bengaluru, India",27-Aug-14,Aug,Silver,Bills,Female,101738
3,"Greater Mumbai, India",12-Apr-14,Apr,Signature,Bills,Female,123424
4,"Bengaluru, India",5-May-15,May,Gold,Bills,Female,171574
5,"Delhi, India",8-Sep-14,Sep,Silver,Bills,Female,100036
6,"Delhi, India",24-Feb-15,Feb,Gold,Bills,Female,143250
7,"Greater Mumbai, India",26-Jun-14,Jun,Platinum,Bills,Female,150980
8,"Delhi, India",28-Mar-14,Mar,Silver,Bills,Female,192247
9,"Delhi, India",1-Sep-14,Sep,Platinum,Bills,Female,67932
10,"Delhi, India",22-Jun-14,Jun,Platinum,Bills,Female,280061
11,"Greater Mumbai, India",7-Dec-13,Dec,Signature,Bills,Female,278036
12,"Greater Mumbai, India",7-Aug-14,Aug,Gold,Bills,Female,19226
13,"Delhi, India",27-Apr-14,Apr,Signature,Bills,Female,254359
14,"Greater Mumbai, India",15-Aug-14,Aug,Signature,Bills,Female,302834
15,"Greater Mumbai, India",28-Nov-14,Nov,Platinum,Bills,Female,647116
16,"Greater Mumbai, India",14-Jun-14,Jun,Signature,Bills,Female,421878
17,"Greater Mumbai, India",30-Mar-15,Mar,Gold,Bills,Female,986379
18,"Greater Mumbai, India",15-Mar-14,Mar,Platinum,Bills,Female,213047
19,"Greater Mumbai, India",9-Nov-13,Nov,Platinum,Bills,Female,735566
20,"Delhi, India",4-Apr-14,Apr,Signature,Bills,Female,366102
21,"Delhi, India",1-Jul-14,Jul,Signature,Bills,Female,809623
22,"Greater Mumbai, India",27-Mar-15,Mar,Silver,Bills,Female,467014
23,"Ahmedabad, India",11-Oct-13,Oct,Gold,Bills,Female,668568
24,"Ahmedabad, India",26-Mar-14,Mar,Gold,Bills,Female,339112
25,"Delhi, India",27-Sep-14,Sep,Silver,Bills,Female,622170
26,"Bengaluru, India",23-Mar-14,Mar,Platinum,Bills,Female,434427
27,"Greater Mumbai, India",17-May-14,May,Signature,Bills,Female,655846
28,"Bengaluru, India",18-Jan-15,Jan,Platinum,Bills,Female,987935
29,"Delhi, India",18-Apr-15,Apr,Gold,Bills,Female,702774
30,"Bengaluru, India",31-Jul-14,Jul,Signature,Bills,Female,225392
31,"Greater Mumbai, India",11-Feb-15,Feb,Gold,Bills,Female,296573
32,"Ahmedabad, India",24-Nov-13,Nov,Platinum,Bills,Female,227702
33,"Ahmedabad, India",8-Nov-14,Nov,Gold,Bills,Female,864090
34,"Ahmedabad, India",6-Sep-14,Sep,Signature,Bills,Female,440605
35,"Ahmedabad, India",24-Mar-15,Mar,Platinum,Bills,Female,954660
36,"Ahmedabad, India",1-Jan-14,Jan,Signature,Bills,Female,255577
37,"Ahmedabad, India",12-Jul-14,Jul,Silver,Bills,Female,337352
38,"Ahmedabad, India",4-Feb-14,Feb,Platinum,Bills,Female,660244
39,"Delhi, India",3-Feb-15,Feb,Silver,Bills,Female,401351
40,"Delhi, India",27-Oct-13,Oct,Platinum,Bills,Female,678842
41,"Delhi, India",11-May-14,May,Gold,Bills,Female,478861
42,"Bengaluru, India",10-Nov-14,Nov,Platinum,Bills,Female,804938
43,"Delhi, India",30-Jan-15,Jan,Silver,Bills,Female,888341
